name,gender,birthyear,hpi,group
"Prince Philip, Duke of Edinburgh",M,1921,85.96479738266771,28
Ibn Khaldun,M,1332,85.96463586567914,22
Niccolò Paganini,M,1782,85.95778521219806,26
Niels Bohr,M,1885,85.95721517170983,27
Jan Hus,M,1369,85.9401114976463,22
Ashoka,M,-304,85.91226991859301,5
Ennio Morricone,M,1928,85.91145377022099,28
Pablo Escobar,M,1949,85.9075222852863,28
Hermann Hesse,M,1877,85.90534826955266,27
Marcel Proust,M,1871,85.89730178487314,27
Mary II of England,F,1662,85.89592668276353,25
Hadrian,M,76,85.88675694849482,9
Tiberius,M,-42,85.85941782810565,8
Titian,M,1488,85.85756019058572,23
Rajneesh,M,1931,85.85170605087784,28
Alain Delon,M,1935,85.85104265825996,28
Darius the Great,M,-550,85.83227366161849,3
Grigori Rasputin,M,1869,85.81755523760803,27
Oscar Wilde,M,1854,85.80516798162405,27
Giacomo Casanova,M,1725,85.77427585010845,26
Ahmed I,M,1590,85.76302414775776,24
Søren Kierkegaard,M,1813,85.75154234063677,27
Michael Jackson,M,1958,85.73261685582645,28
Saint Nicholas,M,270,85.72733210254871,11
Boris Yeltsin,M,1931,85.72593331149955,28
Johannes Kepler,M,1571,85.69880520325658,24
Ibn Battuta,M,1304,85.69717605291757,22
Clint Eastwood,M,1930,85.69470059420252,28
"James, son of Zebedee",M,1,85.69114328838117,9
Denis Diderot,M,1713,85.69032342889082,26
Simone de Beauvoir,F,1908,85.68948618903896,28
F. Scott Fitzgerald,M,1896,85.68590816834754,27
El Greco,M,1541,85.68287068969215,24
Mother Teresa,F,1910,85.68210415950536,28
Jan van Eyck,M,1395,85.66148469561094,22
Charles Lindbergh,M,1902,85.64082946808733,28
Florence Nightingale,F,1820,85.63614435566211,27
Philip II of Spain,M,1527,85.63319220924426,24
Antonín Dvořák,M,1841,85.62187050700076,27
Al Pacino,M,1940,85.59872781915985,28
Bill Gates,M,1955,85.58341898611053,28
Erwin Rommel,M,1891,85.5826339103056,27
Matthew the Apostle,M,10,85.57685266370447,9
Philip II of Macedon,M,-382,85.57479332315003,5
Giuseppe Garibaldi,M,1807,85.55562208522986,27
Pope John Paul I,M,1912,85.55118270938247,28
Gabriel García Márquez,M,1927,85.54798943677413,28
Leonid Brezhnev,M,1906,85.52613018469066,28
Charles Baudelaire,M,1821,85.52260442572134,27
Cher,F,1946,85.50312854217034,28
Eleanor Roosevelt,F,1884,85.50115437558851,27
Hypatia,F,350,85.48768804855949,12
Murad IV,M,1612,85.48363875173845,25
"Wilhelm II, German Emperor",M,1859,85.4807947130108,27
Galen,M,129,85.46377393059143,10
Ivar the Boneless,M,900,85.46084151404374,18
Auguste Comte,M,1798,85.4561463325045,26
Cleopatra,F,-69,85.45525364226626,8
Sun Tzu,M,-543,85.45165138808619,3
Herod the Great,M,-73,85.4429136008403,8
Muammar Gaddafi,M,1942,85.44163441383841,28
Aristophanes,M,-448,85.43832166522427,4
Pierre-Auguste Renoir,M,1841,85.43322297792304,27
Catherine de' Medici,F,1519,85.43274927048263,24
Coco Chanel,F,1883,85.43257573654664,27
Édouard Manet,M,1832,85.41419639773733,27
John the Apostle,M,6,85.40145538577703,9
Pope Pius XII,M,1876,85.38879683806711,27
